cal_size,effective_numeric_size,mean_ece_temperature,mean_ece_platt,mean_ece_isotonic,mean_ece_mlp,best_ece_method,mean_brier_temperature,mean_brier_platt,mean_brier_isotonic,mean_brier_mlp,best_brier_method,ece_friedman_p,brier_friedman_p,mlp_ece_rank,mlp_brier_rank,mlp_ece_worst_fraction,mlp_brier_worst_fraction
10,10,0.09113765062390533,0.0963753579877392,0.09868993838408084,0.0992173907507465,temperature_scaling,0.0985636484567342,0.10363971015224145,0.10832982140703779,0.11168973071166205,temperature_scaling,0.364164,0.013376,2.9,3.2,0.55,0.6
20,20,0.07517608778948118,0.0727398640665729,0.08088966693601223,0.10101621030166953,monotone_platt,0.09397264501422523,0.0938371515324113,0.09888314838069362,0.11384303418966146,monotone_platt,0.001256,0.000476,3.35,3.35,0.65,0.6
50,50,0.07132374240478856,0.05793776281505645,0.06335175539209342,0.07520205574964457,monotone_platt,0.09125110562890802,0.08819593998452775,0.0924578138224315,0.0993826182001455,monotone_platt,0.033557,0.024198,3.1,2.95,0.5,0.4
75,75,0.0673296079797828,0.0518491139528645,0.05418857962278775,0.06164299819618575,monotone_platt,0.09059260867069766,0.08549143105613578,0.0891538748027868,0.0933063098486404,monotone_platt,0.028504,0.04399,3.05,2.7,0.45,0.25
100,100,0.06553254620558757,0.04901533738338052,0.05012640688823545,0.05681804305237087,monotone_platt,0.09033380835959268,0.08533578072623242,0.08942969902690802,0.09006155397944399,monotone_platt,0.079251,0.024198,2.9,2.65,0.3,0.3
150,150,0.06377511954476282,0.04587485728800837,0.0443616800243925,0.05228751279870235,isotonic_regression,0.08993705022336818,0.0837392561721097,0.0868544316813491,0.08812860388168375,monotone_platt,0.005587,0.005587,2.85,2.55,0.25,0.3
full,200,0.0643654856240939,0.0429954324648454,0.043082915872693826,0.051908622520302074,monotone_platt,0.08979699797852797,0.08337071771421099,0.0856665191123717,0.0875340447330552,monotone_platt,0.007383,0.000895,3.0,2.75,0.5,0.25
