endpoint,method,model_id,model,source_id,source,source_class,target_id,target,target_class,n_source_cal,n_target_cal,n_target_test,src_cal_pos,tgt_test_pos,tgt_test_neg,ece_raw,ece_indomain,ece_transferred,aece_raw,aece_indomain,aece_transferred,brier_raw,brier_indomain,brier_transferred,nll_raw,nll_indomain,nll_transferred,auroc_raw,auroc_transferred,auroc_change,transfer_success,collapse
MI,platt,M1,MERL,D1,PTB-XL,MI,D5,MIMIC-IV-ECG,MI,297,298,301,43,62,239,0.0895059406889002,0.06718103931310318,0.07166199014159733,0.09229321761988024,0.06478163436042617,0.0666096961050307,0.14337072047928331,0.13230776521835,0.13475810328034768,0.5218536508062932,0.4218626577225059,0.4288827868019597,0.7916722904575515,0.7916722904575515,0.0,True,False
MI,isotonic,M1,MERL,D1,PTB-XL,MI,D5,MIMIC-IV-ECG,MI,297,298,301,43,62,239,0.0895059406889002,0.07464643127517709,0.051954073693939784,0.09229321761988024,0.05907945445378093,0.05698799376771547,0.14337072047928331,0.13959664902439614,0.13567049192288855,0.5218536508062932,0.5340286849741154,0.425762832350805,0.7916722904575515,0.7903900661357809,-0.0012822243217706086,True,False
MI,temperature,M1,MERL,D1,PTB-XL,MI,D5,MIMIC-IV-ECG,MI,297,298,301,43,62,239,0.0895059406889002,0.06773305069095788,0.06944432243094524,0.09229321761988024,0.08330469860596688,0.08265940974850819,0.14337072047928331,0.13872775266184578,0.13824124330498802,0.5218536508062932,0.4441417571520687,0.44780191855747453,0.7916722904575515,0.7916722904575515,0.0,True,False
MI,platt,M2,ST-MEM,D1,PTB-XL,MI,D5,MIMIC-IV-ECG,MI,297,298,301,43,62,239,0.13850796718884822,0.04851191334488908,0.08756860994720085,0.12924285925401882,0.07228702415502923,0.09785115184995297,0.16542946886028953,0.13898211182456854,0.14695872773884483,0.791768072298806,0.44156279904088075,0.4676235465857465,0.7727088675934675,0.7727088675934675,0.0,False,False
MI,isotonic,M2,ST-MEM,D1,PTB-XL,MI,D5,MIMIC-IV-ECG,MI,297,298,301,43,62,239,0.13850796718884822,0.06269683758830848,0.08957924559302663,0.12924285925401882,0.06877554369294339,0.07762910583242082,0.16542946886028953,0.14566244475183146,0.15398538916956758,0.791768072298806,0.7195495882766133,0.627440983554799,0.7727088675934675,0.7557362667026589,-0.016972600890808542,False,False
MI,temperature,M2,ST-MEM,D1,PTB-XL,MI,D5,MIMIC-IV-ECG,MI,297,298,301,43,62,239,0.13850796718884822,0.08976013412433126,0.09048474546750643,0.12924285925401882,0.09253622516998732,0.09433937866562024,0.16542946886028953,0.15022757497368838,0.15050042175722717,0.791768072298806,0.4745595142708807,0.4928027113033741,0.7727088675934675,0.7727088675934675,0.0,True,False
MI,platt,M3,HuBERT-ECG,D1,PTB-XL,MI,D5,MIMIC-IV-ECG,MI,297,298,301,43,62,239,0.16159712546942845,0.03949842629757901,0.09814893620611849,0.16034033470419679,0.10533162449425139,0.11315537490050104,0.19094485555971272,0.1536693137263523,0.1589958176354861,0.8097787744266116,0.47593352257857274,0.5013840543590062,0.7258739371035228,0.7258739371035228,0.0,False,False
MI,isotonic,M3,HuBERT-ECG,D1,PTB-XL,MI,D5,MIMIC-IV-ECG,MI,297,298,301,43,62,239,0.16159712546942845,0.06387706223745737,0.10382281781477762,0.16034033470419679,0.09619212431200899,0.10256094673938469,0.19094485555971272,0.15393734592204025,0.1667103916937547,0.8097787744266116,0.5627652920824991,0.7775078253126021,0.7258739371035228,0.699453367525982,-0.026420569577540798,False,False
MI,temperature,M3,HuBERT-ECG,D1,PTB-XL,MI,D5,MIMIC-IV-ECG,MI,297,298,301,43,62,239,0.16159712546942845,0.09972115824554272,0.09983976482825996,0.16034033470419679,0.12321220213186011,0.12177925837226328,0.19094485555971272,0.16578708413709972,0.16658169312589355,0.8097787744266116,0.5172163621720698,0.5255346297714796,0.7258739371035228,0.7258739371035228,0.0,True,False
MI,platt,M4,ECGFM-KED,D1,PTB-XL,MI,D5,MIMIC-IV-ECG,MI,297,298,301,43,62,239,0.08865203220066135,0.07662031901552836,0.0908802326355023,0.0812967469889797,0.09597189204789106,0.10560037835762746,0.1376158544015841,0.13806066846386492,0.14671974667610385,0.4784412910086504,0.43273423173425246,0.4544280174898238,0.7793899311647996,0.7793899311647996,0.0,False,True
MI,isotonic,M4,ECGFM-KED,D1,PTB-XL,MI,D5,MIMIC-IV-ECG,MI,297,298,301,43,62,239,0.08865203220066135,0.08214788070909086,0.04766829873413731,0.0812967469889797,0.09652585565329433,0.07793038728694625,0.1376158544015841,0.1430319251549917,0.1373136873378053,0.4784412910086504,0.49084233817315376,0.4700145761925172,0.7793899311647996,0.7804359562694021,0.0010460251046024993,True,False
MI,temperature,M4,ECGFM-KED,D1,PTB-XL,MI,D5,MIMIC-IV-ECG,MI,297,298,301,43,62,239,0.08865203220066135,0.09974185736015619,0.09000832077864288,0.0812967469889797,0.11077970196669434,0.10568306897743483,0.1376158544015841,0.14213404568436272,0.14073528399247673,0.4784412910086504,0.46752305063944466,0.46506560604760416,0.7793899311647996,0.7794236739101092,3.37427453096506e-05,False,True
