dataset_id,dataset_name,model_id,model_name,recal_method,auroc_raw,auroc_post,delta_auroc,ece_ew_raw,ece_ew_post,delta_ece_ew,relative_ece_reduction,brier_raw,brier_post,delta_brier,sce_raw,sce_post,delta_sce
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,0.738817683229448,0.738817683229448,0.0,0.0726384813197613,0.0747519016094425,0.0021134202896812004,-0.02909505060241732,0.1455508616311095,0.1472336413349025,0.0016827797037929915,0.0147667640588521,0.0040769805220377,-0.0106897835368144
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,isotonic_regression,0.738817683229448,0.7245871880283645,-0.014230495201083437,0.0726384813197613,0.0608831585638159,-0.011755322755945402,0.16183326719342309,0.1455508616311095,0.1513242627195814,0.005773401088471908,0.0147667640588521,0.0092892543351468,-0.005477509723705301
D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,learned_mlp_head,0.738817683229448,0.7495291257644199,0.010711442534971916,0.0726384813197613,0.0789343602202562,0.006295878900494892,-0.08667415378330738,0.1455508616311095,0.1456131679894021,6.2306358292602e-05,0.0147667640588521,0.0173631101904601,0.002596346131608
D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,0.87927418174477,0.87927418174477,0.0,0.1088038374505755,0.0482368423029143,-0.060566995147661194,0.5566623068342966,0.1095954605309772,0.088779679311794,-0.020815781219183205,0.0817930688322966,0.0024871841148047,-0.0793058847174919
D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,isotonic_regression,0.87927418174477,0.8710850304085598,-0.008189151336210232,0.1088038374505755,0.0540097533509568,-0.054794084099618695,0.5036043340337981,0.1095954605309772,0.0922645318061092,-0.017330928724867994,0.0817930688322966,0.0008514967692583,-0.0809415720630383
D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,learned_mlp_head,0.87927418174477,0.8675339036515506,-0.011740278093219425,0.1088038374505755,0.0646409574957622,-0.0441628799548133,0.40589450693661827,0.1095954605309772,0.0988351014464959,-0.010760359084481294,0.0817930688322966,0.0195806000288817,-0.062212468803414904
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,0.5483330655043196,0.5483330655043196,0.0,0.0261741085769608,0.0201576141021434,-0.006016494474817401,0.22986435076200806,0.0775686605969134,0.0767972672428003,-0.000771393354113109,-0.004297929603296,0.0148108765517414,0.0191088061550374
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,isotonic_regression,0.5483330655043196,0.5678103673830538,0.0194773018787342,0.0261741085769608,0.0392403396943865,0.013066231117425699,-0.4992044362850611,0.0775686605969134,0.0778922984026776,0.0003236378057641931,-0.004297929603296,0.0118638256311069,0.0161617552344029
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,learned_mlp_head,0.5483330655043196,0.5147475523618176,-0.03358551314250202,0.0261741085769608,0.0185695406422019,-0.007604567934758898,0.2905378004526449,0.0775686605969134,0.0769511066492649,-0.0006175539476485081,-0.004297929603296,0.0062125249455372,0.0105104545488332
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,0.9869273814139704,0.9869273814139704,0.0,0.0388359183711672,0.0287244507353943,-0.010111467635772899,0.2603638090680486,0.0261257514672241,0.0206715026844101,-0.0054542487828139995,0.0312726105122373,0.0041596338745203,-0.027112976637717
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,isotonic_regression,0.9869273814139704,0.9756544797855324,-0.01127290162843797,0.0388359183711672,0.0181984118816161,-0.020637506489551097,0.5314025612143866,0.0261257514672241,0.0211849835211188,-0.0049407679461053,0.0312726105122373,0.0028882342801089,-0.0283843762321284
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,learned_mlp_head,0.9869273814139704,0.970551142916804,-0.016376238497166407,0.0388359183711672,0.045489631722988,0.0066537133518208,-0.17132885305374138,0.0261257514672241,0.0287368028470579,0.0026110513798337995,0.0312726105122373,0.0027348741199784,-0.0285377363922589
