model,threshold,nb_raw,nb_platt,nb_iso,nb_treat_all,nb_treat_none
MERL,0.1,0.03753251686279366,0.0750650318303811,0.06726124135596019,0.03753251686279366,0.0
MERL,0.15,-0.019083216773327527,0.05823332707409935,0.05823332707409935,-0.019083216773327527,0.0
MERL,0.2,-0.08277591702550177,0.041806020380434766,0.038461538691471564,-0.08277591702550177,0.0
ST-MEM,0.1,0.03753251686279366,0.08175399500392254,0.09327387622114869,0.03753251686279366,0.0
ST-MEM,0.15,-0.019083216773327527,0.06846350606057097,0.06590596125493281,-0.019083216773327527,0.0
ST-MEM,0.2,-0.08277591702550177,0.05936454879807691,0.05936454879807691,-0.08277591702550177,0.0
ECG-FM,0.1,0.03753251686279366,0.0836120403195838,0.10107766654692596,0.03753251686279366,0.0
ECG-FM,0.15,-0.019083216773327527,0.07751327978845286,0.08774345901100553,-0.019083216773327527,0.0
ECG-FM,0.2,-0.08277591702550177,0.06354515079431437,0.06103678957984949,-0.08277591702550177,0.0
