dataset_id,dataset_name,model_id,model_name,cal_size,method,ece_rank,brier_rank,ece_ew_mean,brier_mean,best_by_ece,best_by_brier
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,isotonic,2,2,0.093449,0.096332,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,25,mlp_head,3,3,0.246469,0.150345,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,isotonic,1,2,0.065629,0.088177,True,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,monotone_temperature,2,1,0.084676,0.082972,False,True
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,mlp_head,3,3,0.166629,0.116712,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,75,isotonic,1,1,0.041169,0.07786,True,True
D3,CODE-15%,M6_s4d_configured,Configured S4D,75,monotone_temperature,2,2,0.084964,0.082833,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,75,mlp_head,3,3,0.098236,0.091941,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,100,isotonic,1,1,0.043076,0.079621,True,True
D3,CODE-15%,M6_s4d_configured,Configured S4D,100,mlp_head,2,2,0.047946,0.079895,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,100,monotone_temperature,3,3,0.084676,0.082684,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,150,mlp_head,1,2,0.033415,0.078274,True,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,150,isotonic,2,1,0.040579,0.077572,False,True
D3,CODE-15%,M6_s4d_configured,Configured S4D,150,monotone_temperature,3,3,0.084811,0.082546,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,200,mlp_head,1,2,0.032411,0.078444,True,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,200,isotonic,2,1,0.03763,0.076567,False,True
D3,CODE-15%,M6_s4d_configured,Configured S4D,200,monotone_temperature,3,3,0.084804,0.082555,False,False
