dataset_id,dataset_name,model_id,model_name,cal_size,effective_n,method,n_reps,n_valid_reps,ece_ew_mean,ece_ew_std,brier_mean,brier_std,auroc_mean,auroc_std
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,isotonic_regression,5,5,0.11149587005063606,0.011714713461911873,0.11858697400871636,0.006482135466780213,0.8404198812257636,0.014764717569237492
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,learned_mlp_head,5,5,0.10999360836665337,0.0124805750599834,0.12942977279144705,0.008470250804100549,0.7969109210050386,0.021731353728538343
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,monotone_platt,5,5,0.12239740980239824,0.019155368135032845,0.11597161529615004,0.01005540952112152,0.8790432449255979,0.00046187363834420124
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,temperature_scaling,5,5,0.15215071580063075,0.020870411436144157,0.12571911598957955,0.010209803609867401,0.8771960304842658,0.0018269094627932597
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,isotonic_regression,5,5,0.10708290819122539,0.013226826658987223,0.11407875646391559,0.009343986844919973,0.8491738191973486,0.019801376065337443
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,learned_mlp_head,5,5,0.11885680526905751,0.035613666106235314,0.13243314877495985,0.015522777275597097,0.7813749800220388,0.03521312103161878
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,monotone_platt,5,5,0.10635722725590932,0.006822215880280479,0.10999718064858824,0.007358226032390416,0.878398426998427,0.0008177905947772968
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,temperature_scaling,5,5,0.12066599786098361,0.0035295190330884795,0.11598755879399707,0.005941579820702413,0.8775796906149849,0.003388982259570472
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,50,isotonic_regression,5,5,0.07437636883015994,0.012775573382308055,0.10002618142420891,0.0044345386783506534,0.8449552283375812,0.020368391718595436
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,50,learned_mlp_head,5,5,0.08200924672044022,0.01321942629410589,0.11190070208171617,0.009151866848896285,0.8377706900177488,0.026720777544276694
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,50,monotone_platt,5,5,0.06791820717025918,0.007245812162065754,0.09388831342935666,0.00312174311746653,0.87927418174477,0.0
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,50,50,temperature_scaling,5,5,0.11797317854576547,0.008380760202076187,0.11026339602720463,0.0007401285768362149,0.87927418174477,0.0
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,75,isotonic_regression,5,5,0.0600499079202468,0.009246398340336023,0.09672469543882706,0.002035015211651536,0.860476429370547,0.002541573893465681
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,75,learned_mlp_head,5,5,0.07320746916755816,0.0019601439608991243,0.10595165774609597,0.002642245228262676,0.8575628031392737,0.007505699233122751
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,75,monotone_platt,5,5,0.062322363844250106,0.0035289179569145245,0.09078459414883637,0.0011835520381272505,0.87927418174477,0.0
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,75,temperature_scaling,5,5,0.11499144067783892,0.009658380192704305,0.11036076815983034,0.0006529989757844733,0.87927418174477,0.0
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,100,isotonic_regression,5,5,0.057071885844069005,0.005791420360742134,0.09666077807018013,0.003314077927041847,0.8556709810650988,0.00755705744592914
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,100,learned_mlp_head,5,5,0.07030703770061907,0.009619421147692589,0.10370583668921265,0.001587174363143656,0.8603701970878441,0.007014074366800446
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,100,monotone_platt,5,5,0.057374510774625034,0.003284092546624117,0.09060371508992404,0.00145053094048721,0.87927418174477,0.0
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,100,temperature_scaling,5,5,0.11537917834922791,0.0047367196983614974,0.11019271963775049,0.00039839947330508866,0.87927418174477,0.0
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,150,isotonic_regression,5,5,0.05067031365219514,0.004650554081155563,0.0936280030591109,0.0012421905160197684,0.8668515734221618,0.0023621676961076343
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,150,learned_mlp_head,5,5,0.0653515725835212,0.003257113954209171,0.0999461902568182,0.00182038767390255,0.8654656757597936,0.006090278227760491
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,150,monotone_platt,5,5,0.05528582776954298,0.0038002225802023,0.08881710195896889,0.00045761345015408696,0.87927418174477,0.0
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,150,temperature_scaling,5,5,0.11082909783107382,0.008101770169501392,0.10990104290193589,0.00031549607330622103,0.87927418174477,0.0
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,full,203,isotonic_regression,5,5,0.05400975335095681,0.0,0.09226453180610919,0.0,0.8710850304085598,0.0
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,full,203,learned_mlp_head,5,5,0.06464095749576224,0.0,0.09883510144649599,0.0,0.8675339036515506,0.0
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,full,203,monotone_platt,5,5,0.04823643022280146,0.0,0.08877954260087521,0.0,0.87927418174477,0.0
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,full,203,temperature_scaling,5,5,0.11360833389497246,0.0,0.10957570893410093,0.0,0.87927418174477,0.0
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,isotonic_regression,5,5,0.18301289899780188,0.01474527374055585,0.19918030802487724,0.008065099368920825,0.7068020104137751,0.01574845466570285
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,learned_mlp_head,5,5,0.13218940767039752,0.048655290813523766,0.16593550719726174,0.021580272978189565,0.7099486562192444,0.040177377081145334
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,monotone_platt,5,5,0.16855359380460988,0.013854501366379175,0.18658831222087047,0.013179245274998802,0.7380006897653957,0.0025947886197464913
D1,PTB-XL,M6_s4d_configured,Configured S4D,10,10,temperature_scaling,5,5,0.12057256035184234,0.020484036449575686,0.1596004342965215,0.007695699048736843,0.7376564631858751,0.0023224400871459496
D1,PTB-XL,M6_s4d_configured,Configured S4D,20,20,isotonic_regression,5,5,0.11897288963659966,0.01064523152865849,0.16943200692219135,0.0031557126290273135,0.7040496765673236,0.009387874369757299
