phase,dataset_id,dataset_name,model_id,model_name,recal_method,auroc,auprc,ece_ew,ece_em,brier,sce
A_expanded_real_pilot,D1,PTB-XL,M6_s4_lite,S4-lite expanded real pilot,none,0.674103658280129,0.37561616793838953,0.0753490974016758,0.10859749490115309,0.1541441924967376,0.01666282144389622
A_expanded_real_pilot,D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,none,0.87927418174477,0.714537873976161,0.108803836577159,0.10862875029719347,0.10959546053097721,0.08179306622941898
A_expanded_real_pilot,D3,CODE-15%,M6_s4_lite,S4-lite expanded real pilot,none,0.5071788190749444,0.09403917675320254,0.052446552906185384,0.08200812626009187,0.08130186748937714,0.04801411908740799
A_expanded_real_pilot,D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,none,0.9869273814139704,0.8781089579095291,0.03883591827493061,0.03410464307155011,0.02612575146722412,0.03127261016764795
B_expanded_real_pilot,D1,PTB-XL,M6_s4_lite,S4-lite expanded real pilot,guarded_platt_scaling,0.674103658280129,0.37561616793838953,0.07164997552502281,0.10006990479085079,0.15666343344293032,0.012395926788227655
B_expanded_real_pilot,D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,guarded_platt_scaling,0.87927418174477,0.714537873976161,0.048236843798821094,0.059833541114423384,0.08877967931179402,0.00248718422096583
B_expanded_real_pilot,D3,CODE-15%,M6_s4_lite,S4-lite expanded real pilot,guarded_platt_scaling,0.4804460606908558,0.09237510664122944,0.021906453142036608,0.06387077354558181,0.07592237003352852,0.013979665984948481
B_expanded_real_pilot,D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,guarded_platt_scaling,0.9869273814139704,0.8781089579095291,0.028724450905360674,0.01452425247562898,0.020671502684410138,0.004159633423605004
