endpoint,dataset,model,method,integrated_nb,integrated_vs_treat_all,nb_at_0.10,nb_at_0.15,nb_at_0.20
MI,MIMIC-IV-ECG,S4D,isotonic,0.026691,0.019177,0.14175,0.123901,0.102159
MI,MIMIC-IV-ECG,S4D,platt,0.024786,0.017271,0.116279,0.116279,0.095515
MI,MIMIC-IV-ECG,S4D,treat_all,0.007515,0.0,0.117756,0.065859,0.007475
MI,MIMIC-IV-ECG,S4D,treat_none,0.0,-0.007515,0.0,0.0,0.0
AF,CODE-15%,MERL,raw,0.000245,0.183007,0.002878,0.002261,0.001671
AF,CODE-15%,MERL,isotonic,0.000266,0.183028,0.002506,0.00231,0.000835
AF,CODE-15%,MERL,platt,0.000493,0.183255,0.003156,0.00285,0.002297
AF,CODE-15%,MERL,treat_all,-0.182762,0.0,-0.095331,-0.159762,-0.232247
AF,CODE-15%,MERL,treat_none,0.0,0.182762,0.0,0.0,0.0
AF,CODE-15%,ST-MEM,raw,0.003698,0.18646,0.010675,0.010516,0.009398
AF,CODE-15%,ST-MEM,isotonic,0.00368,0.186442,0.011046,0.009828,0.008772
AF,CODE-15%,ST-MEM,platt,0.003217,0.185979,0.008726,0.008453,0.008145
AF,CODE-15%,ST-MEM,treat_all,-0.182762,0.0,-0.095331,-0.159762,-0.232247
AF,CODE-15%,ST-MEM,treat_none,0.0,0.182762,0.0,0.0,0.0
AF,CODE-15%,HuBERT-ECG,raw,-0.000924,0.181838,0.0013,-0.000147,-0.001253
AF,CODE-15%,HuBERT-ECG,isotonic,-0.000349,0.182413,0.001114,-0.001671,0.000627
AF,CODE-15%,HuBERT-ECG,platt,0.000513,0.183275,0.002878,0.002408,0.00188
AF,CODE-15%,HuBERT-ECG,treat_all,-0.182762,0.0,-0.095331,-0.159762,-0.232247
AF,CODE-15%,HuBERT-ECG,treat_none,0.0,0.182762,0.0,0.0,0.0
AF,CODE-15%,ECG-FM,raw,-0.002161,0.180601,-0.002785,-0.003735,-0.004386
AF,CODE-15%,ECG-FM,isotonic,-0.000285,0.182477,-0.003063,-0.003637,0.0
AF,CODE-15%,ECG-FM,platt,-0.000784,0.181978,-0.001021,-0.001179,-0.001462
AF,CODE-15%,ECG-FM,treat_all,-0.182762,0.0,-0.095331,-0.159762,-0.232247
AF,CODE-15%,ECG-FM,treat_none,0.0,0.182762,0.0,0.0,0.0
AF,CODE-15%,S4D,raw,-0.000228,0.182534,-0.001949,-0.001032,-0.000627
AF,CODE-15%,S4D,isotonic,-7.4e-05,0.182688,-0.001392,0.0,0.0
AF,CODE-15%,S4D,platt,-0.0,0.182761,0.0,0.0,0.0
AF,CODE-15%,S4D,treat_all,-0.182762,0.0,-0.095331,-0.159762,-0.232247
AF,CODE-15%,S4D,treat_none,0.0,0.182762,0.0,0.0,0.0
AF,CPSC2018,MERL,raw,0.054081,0.145724,0.134174,0.129457,0.126334
AF,CPSC2018,MERL,isotonic,0.053447,0.14509,0.135898,0.131568,0.126576
AF,CPSC2018,MERL,platt,0.053852,0.145495,0.134928,0.131397,0.129728
AF,CPSC2018,MERL,treat_all,-0.091643,0.0,0.062399,0.007246,-0.054801
AF,CPSC2018,MERL,treat_none,0.0,0.091643,0.0,0.0,0.0
AF,CPSC2018,ST-MEM,raw,0.061764,0.153407,0.143119,0.142009,0.140883
AF,CPSC2018,ST-MEM,isotonic,0.061393,0.153036,0.143011,0.141439,0.138943
AF,CPSC2018,ST-MEM,platt,0.061796,0.153439,0.144197,0.141895,0.140398
AF,CPSC2018,ST-MEM,treat_all,-0.091643,0.0,0.062399,0.007246,-0.054801
AF,CPSC2018,ST-MEM,treat_none,0.0,0.091643,0.0,0.0,0.0
AF,CPSC2018,HuBERT-ECG,raw,0.047621,0.139264,0.123936,0.119073,0.115179
AF,CPSC2018,HuBERT-ECG,isotonic,0.047075,0.138717,0.126307,0.117875,0.1113
AF,CPSC2018,HuBERT-ECG,platt,0.047801,0.139444,0.12469,0.119929,0.116392
AF,CPSC2018,HuBERT-ECG,treat_all,-0.091643,0.0,0.062399,0.007246,-0.054801
AF,CPSC2018,HuBERT-ECG,treat_none,0.0,0.091643,0.0,0.0,0.0
AF,CPSC2018,ECGFM-KED,raw,0.026706,0.118349,0.098179,0.081588,0.071775
AF,CPSC2018,ECGFM-KED,isotonic,0.026337,0.11798,0.098394,0.083814,0.071048
AF,CPSC2018,ECGFM-KED,platt,0.026634,0.118277,0.098825,0.082216,0.07129
AF,CPSC2018,ECGFM-KED,treat_all,-0.091643,0.0,0.062399,0.007246,-0.054801
AF,CPSC2018,ECGFM-KED,treat_none,0.0,0.091643,0.0,0.0,0.0
AF,CPSC2018,ECG-FM,raw,0.031535,0.123178,0.107016,0.095681,0.085354
AF,CPSC2018,ECG-FM,isotonic,0.031269,0.122912,0.106477,0.08581,0.082202
AF,CPSC2018,ECG-FM,platt,0.030865,0.122507,0.107447,0.095624,0.082687
AF,CPSC2018,ECG-FM,treat_all,-0.091643,0.0,0.062399,0.007246,-0.054801
AF,CPSC2018,ECG-FM,treat_none,0.0,0.091643,0.0,0.0,0.0
AF,CPSC2018,S4D,raw,0.018797,0.110439,0.084492,0.063388,0.049709
AF,CPSC2018,S4D,isotonic,0.018274,0.109917,0.08072,0.067154,0.053346
AF,CPSC2018,S4D,platt,0.018309,0.109952,0.075224,0.064928,0.053589
AF,CPSC2018,S4D,treat_all,-0.091643,0.0,0.062399,0.007246,-0.054801
AF,CPSC2018,S4D,treat_none,0.0,0.091643,0.0,0.0,0.0
AF,MIMIC-IV-ECG,MERL,raw,0.030466,0.137044,0.0945,0.084815,0.07392
AF,MIMIC-IV-ECG,MERL,isotonic,0.029862,0.13644,0.097084,0.089701,0.080565
AF,MIMIC-IV-ECG,MERL,platt,0.029183,0.135762,0.08601,0.075826,0.072259
AF,MIMIC-IV-ECG,MERL,treat_all,-0.106579,0.0,0.036545,-0.020129,-0.083887
AF,MIMIC-IV-ECG,MERL,treat_none,0.0,0.106579,0.0,0.0,0.0
AF,MIMIC-IV-ECG,ST-MEM,raw,0.038308,0.144887,0.101144,0.092632,0.083887
AF,MIMIC-IV-ECG,ST-MEM,isotonic,0.039615,0.146194,0.104467,0.08462,0.084718
AF,MIMIC-IV-ECG,ST-MEM,platt,0.038646,0.145225,0.090439,0.090092,0.08887
AF,MIMIC-IV-ECG,ST-MEM,treat_all,-0.106579,0.0,0.036545,-0.020129,-0.083887
AF,MIMIC-IV-ECG,ST-MEM,treat_none,0.0,0.106579,0.0,0.0,0.0
AF,MIMIC-IV-ECG,HuBERT-ECG,raw,0.017829,0.124408,0.064599,0.053352,0.049003
AF,MIMIC-IV-ECG,HuBERT-ECG,isotonic,0.019765,0.126344,0.057217,0.051788,0.045681
