phase,dataset_id,dataset_name,model_id,model_name,recal_method,auroc,auprc,ece_ew,ece_em,brier,sce
A_s4d_real_pilot,D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,none,0.738817683229448,0.41330942931273035,0.07263848373154902,0.0784713634593808,0.14555086163110958,0.014766764293371709
A_s4d_real_pilot,D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,none,0.5483330655043196,0.10225250474930485,0.026174110295251015,0.06775779359508306,0.07756866059691349,-0.004297929018115005
B_s4d_real_pilot,D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,guarded_platt_scaling,0.738817683229448,0.41330942931273035,0.07475190124656454,0.08294364897924425,0.14723364133490258,0.0040769778738003306
B_s4d_real_pilot,D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,guarded_platt_scaling,0.4359147093755826,0.08060405510786085,0.018945603590101095,0.06937456157158876,0.07631063957843905,0.01359886656123972
