dataset_id,dataset_name,model_id,model_name,cal_size,effective_n,rep,seed,min_class_pos_in_cal,min_class_neg_in_cal,method,ece_ew,brier,auroc,status
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,0,42,5,16,temperature_scaling,0.0927959802621876,0.1505222738093353,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,0,42,5,16,monotone_platt,0.09806241427121044,0.1565527245691675,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,0,42,5,16,isotonic_regression,0.1036851972203691,0.16192395956488057,0.7149451972981384,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,0,42,5,16,learned_mlp_head,0.1041137408445845,0.1514627418115964,0.7412111775641187,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,1,43,1,19,temperature_scaling,0.07917928825119562,0.14695245285656292,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,1,43,1,19,monotone_platt,0.07908374160857456,0.1471139699766279,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,1,43,1,19,isotonic_regression,0.08440671472703096,0.15631334027350693,0.7201509324450501,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,1,43,1,19,learned_mlp_head,0.08798461768756877,0.15031338271495434,0.7323077699548287,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,2,44,2,20,temperature_scaling,0.07188427621169444,0.1466917653456254,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,2,44,2,20,monotone_platt,0.07190127484882489,0.14799874218016296,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,2,44,2,20,isotonic_regression,0.07615837176790237,0.15668879526183446,0.6830864646158763,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,2,44,2,20,learned_mlp_head,0.12258600700704544,0.15836330124454018,0.7478680445151034,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,3,45,5,25,temperature_scaling,0.08241137124794015,0.14841652985146997,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,3,45,5,25,monotone_platt,0.09231078927183231,0.14940157398687653,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,3,45,5,25,isotonic_regression,0.08647808380902625,0.1585926671127741,0.7214670132317191,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,3,45,5,25,learned_mlp_head,0.1045804179857432,0.1506684064568556,0.750587688528865,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,4,46,3,22,temperature_scaling,0.0877446179731242,0.14789195892011295,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,4,46,3,22,monotone_platt,0.09360037667435603,0.15670325589658785,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,50,50,4,46,3,22,isotonic_regression,0.10502448354177249,0.16655165391989188,0.7024315491962551,ok
