dataset_id,dataset_name,model_id,model_name,auroc_raw,ece_ew_raw,brier_raw,sce_raw,auroc_platt,ece_ew_platt,brier_platt,sce_platt,delta_auroc_platt_minus_raw,delta_ece_platt_minus_raw,delta_brier_platt_minus_raw,relative_ece_reduction
D1,PTB-XL,M6_s4_lite,S4-lite real pilot,0.6778499278499278,0.2610764898773697,0.1818383983430639,0.1118216396619876,0.6408128908128908,0.0817846201465863,0.1178486896346393,0.0149381408288985,-0.03703703703703698,-0.1792918697307834,-0.06398970870842459,0.6867407701666229
D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe real pilot,0.72663139329806,0.1518931447129126,0.1106689344609276,0.0044419143013118,0.27336860670194,0.1326975132390027,0.1349190056405346,0.0091348527511753,-0.45326278659612,-0.019195631473909902,0.024250071179607008,0.12637589082898262
D3,CODE-15%,M6_s4_lite,S4-lite real pilot,0.4246031746031746,0.2691934903462728,0.1969114275956368,0.2604176377256711,0.5634920634920635,0.1211039957374983,0.111608723135253,-0.0345880494751077,0.1388888888888889,-0.14808949460877452,-0.0853027044603838,0.5501228667093023
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe real pilot,0.9166666666666669,0.0887183027453881,0.0660277249052351,0.0075186588444486,0.9166666666666669,0.0794150102587189,0.0842520589448698,-0.0311778911684526,0.0,-0.009303292486669196,0.018224334039634693,0.10486328298421844
