phase,dataset_id,dataset_name,model_id,model_name,recal_method,auroc,auprc,ece_ew,ece_em,brier,sce
A_real_pilot,D1,PTB-XL,M6_s4_lite,S4-lite real pilot,none,0.6778499278499278,0.6299106991384628,0.2610764898773697,0.371894852982627,0.1818383983430639,0.11182163966198762
A_real_pilot,D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe real pilot,none,0.72663139329806,0.5051042941565818,0.15189314471291268,0.14362979795109032,0.11066893446092763,0.004441914301311818
A_real_pilot,D3,CODE-15%,M6_s4_lite,S4-lite real pilot,none,0.3547783600415179,0.1621555459790754,0.25702921880616086,0.34694525599479675,0.1835103997428671,0.21941909359561074
A_real_pilot,D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe real pilot,none,1.0,1.0,0.10349957590519693,0.10591244363910923,0.04225189387135025,0.0020902529178681573
B_real_pilot,D1,PTB-XL,M6_s4_lite,S4-lite real pilot,platt_scaling,0.6408128908128908,0.633677873326454,0.08178462014658633,0.20813396436272105,0.1178486896346393,0.014938140828898596
B_real_pilot,D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe real pilot,platt_scaling,0.27336860670194,0.2783248438188351,0.13269751323900272,0.20453682852157148,0.13491900564053463,0.00913485275117535
B_real_pilot,D3,CODE-15%,M6_s4_lite,S4-lite real pilot,platt_scaling,0.4937064884433305,0.16314820800114918,0.07357799386463006,0.18555572574043788,0.11796047779381484,-0.03700266903504925
B_real_pilot,D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe real pilot,platt_scaling,0.8333333333333334,0.6944444444444443,0.06487635691226681,0.07279054932005756,0.045240113714111796,0.007805087234332144
