dataset_id,dataset_name,model_id,model_name,cal_size,method,auroc_mean,auroc_std,ece_ew_mean,ece_ew_std,brier_mean,brier_std
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,monotone_platt,0.738818,0.0,0.07587,0.005023,0.14716,0.000279
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,raw,0.753286,0.0,0.090232,0.0,0.14823,0.0
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,25,isotonic,0.89224,0.029705,0.059622,0.022163,0.045816,0.00922
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,25,mlp_head,0.629992,0.13773,0.214038,0.118652,0.145604,0.062582
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,25,monotone_platt,0.986146,0.00148,0.038893,0.007774,0.030153,0.004414
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,25,raw,0.952294,0.0,0.090325,0.0,0.06591,0.0
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,50,isotonic,0.896334,0.018874,0.043196,0.005825,0.040523,0.001916
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,50,mlp_head,0.783,0.030262,0.092959,0.011898,0.074534,0.009557
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,50,monotone_platt,0.984823,0.002992,0.040594,0.007448,0.032303,0.004458
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,50,raw,0.952294,0.0,0.090325,0.0,0.06591,0.0
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,75,isotonic,0.891231,0.005263,0.036268,0.005709,0.035757,0.001974
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,75,mlp_head,0.819504,0.046325,0.086347,0.019484,0.068918,0.006159
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,75,monotone_platt,0.986869,0.000115,0.031748,0.003115,0.024203,0.001652
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,75,raw,0.952294,0.0,0.090325,0.0,0.06591,0.0
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,100,isotonic,0.9105,0.015014,0.030481,0.003486,0.033927,0.001867
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,100,mlp_head,0.876311,0.029722,0.073474,0.008688,0.053244,0.00321
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,100,monotone_platt,0.986953,5.1e-05,0.030324,0.002402,0.022319,0.001655
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,100,raw,0.952294,0.0,0.090325,0.0,0.06591,0.0
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,150,isotonic,0.917161,0.004677,0.029397,0.000407,0.033224,0.001189
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,150,mlp_head,0.934968,0.023071,0.060969,0.003864,0.042929,0.006044
