dataset_id,dataset_name,model_id,model_name,cal_size,rep,method,auroc,ece_ew,brier
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,0,monotone_platt,0.738818,0.075635,0.148773
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,0,isotonic,0.742342,0.081989,0.153938
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,0,mlp_head,0.737865,0.073513,0.146111
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,1,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,1,monotone_platt,0.738818,0.076682,0.148545
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,1,isotonic,0.736645,0.086207,0.14846
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,1,mlp_head,0.738691,0.090973,0.149721
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,2,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,2,monotone_platt,0.738818,0.079212,0.148797
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,2,isotonic,0.730465,0.06576,0.146541
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,2,mlp_head,0.738702,0.104928,0.155669
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,3,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,3,monotone_platt,0.738818,0.089616,0.153659
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,3,isotonic,0.728548,0.086675,0.156004
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,3,mlp_head,0.736362,0.114138,0.157074
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,4,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,4,monotone_platt,0.738818,0.08805,0.150655
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,4,isotonic,0.731542,0.084437,0.150665
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,4,mlp_head,0.736353,0.079792,0.151883
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,0,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,0,monotone_platt,0.738818,0.079127,0.148958
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,0,isotonic,0.742429,0.06965,0.144552
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,0,mlp_head,0.743416,0.067027,0.145443
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,1,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,1,monotone_platt,0.738818,0.067174,0.147841
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,1,isotonic,0.736285,0.071185,0.148093
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,1,mlp_head,0.749787,0.091675,0.147921
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,2,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,2,monotone_platt,0.738818,0.074486,0.149609
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,2,isotonic,0.741271,0.076446,0.146113
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,2,mlp_head,0.750841,0.070836,0.143124
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,3,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,3,monotone_platt,0.738818,0.072512,0.149631
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,3,isotonic,0.742636,0.078542,0.14557
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,3,mlp_head,0.749919,0.079241,0.147877
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,4,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,4,monotone_platt,0.738818,0.067461,0.146789
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,4,isotonic,0.738723,0.062225,0.144345
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,4,mlp_head,0.735377,0.081454,0.149558
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,0,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,0,monotone_platt,0.738818,0.07484,0.147268
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,0,isotonic,0.742446,0.066662,0.144691
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,0,mlp_head,0.727035,0.08064,0.150824
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,1,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,1,monotone_platt,0.738818,0.077035,0.147134
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,1,isotonic,0.742103,0.068009,0.144675
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,1,mlp_head,0.741379,0.087246,0.147453
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,2,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,2,monotone_platt,0.738818,0.0669,0.146664
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,2,isotonic,0.742219,0.065626,0.144607
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,2,mlp_head,0.740824,0.08249,0.146642
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,3,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,3,monotone_platt,0.738818,0.078833,0.147214
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,3,isotonic,0.742573,0.067784,0.144573
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,3,mlp_head,0.738336,0.071974,0.147338
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,4,raw,0.753286,0.090232,0.14823
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,4,monotone_platt,0.738818,0.081742,0.147518
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,4,isotonic,0.743389,0.070283,0.144513
D1,PTB-XL,M6_s4d_configured,Configured S4D,200,4,mlp_head,0.741934,0.073613,0.145848
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,0,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,0,monotone_platt,0.862385,0.075956,0.099126
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,25,0,isotonic,0.818463,0.069954,0.102011
