dataset_id,dataset_name,model_id,model_name,cal_size,effective_n,method,ece_ew_mean,brier_mean,ece_rank,brier_rank,best_by_ece,best_by_brier,mlp_worst_by_ece,mlp_worst_by_brier
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,isotonic_regression,0.07187867814502816,0.1560290401942874,1,4,True,False,False,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,learned_mlp_head,0.07702415076697273,0.14631356105510707,3,1,False,True,False,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,monotone_platt,0.07883854098741547,0.1495500683169202,4,3,False,False,False,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,100,100,temperature_scaling,0.07336686903816332,0.14638476614135035,2,2,False,False,False,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,isotonic_regression,0.06335487697296394,0.15182667259977997,1,4,True,False,True,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,learned_mlp_head,0.07546557885647745,0.14632378066632487,4,2,False,False,True,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,monotone_platt,0.0709103545962525,0.14756388727473374,2,3,False,False,True,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,150,150,temperature_scaling,0.07113746580162063,0.14572294674262756,3,1,False,True,True,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,isotonic_regression,0.06088315856381599,0.15132426271958144,1,4,True,False,True,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,learned_mlp_head,0.07893436022025624,0.14561316798940216,4,2,False,False,True,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,monotone_platt,0.07475178373108424,0.14723400468522554,3,3,False,False,True,False
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,temperature_scaling,0.06953543303762405,0.1456050147442395,2,1,False,True,True,False
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,10,10,isotonic_regression,0.04247575074871192,0.0286889547274273,2,2,False,False,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,10,10,learned_mlp_head,0.07179993675529492,0.06548650225514488,4,4,False,False,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,10,10,monotone_platt,0.043809453186385364,0.030320386297492962,3,3,False,False,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,10,10,temperature_scaling,0.04113330767521071,0.02728466329204482,1,1,True,True,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,20,20,isotonic_regression,0.034371195058449974,0.026590364150192253,1,1,True,True,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,20,20,learned_mlp_head,0.07920172909095768,0.07405909657266438,4,4,False,False,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,20,20,monotone_platt,0.039232989387713295,0.027081820296382474,2,2,False,False,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,20,20,temperature_scaling,0.045364949406392505,0.028217184668500723,3,3,False,False,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,50,50,isotonic_regression,0.03328667115677873,0.02734922927445115,1,1,True,True,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,50,50,learned_mlp_head,0.07474851369219512,0.054222549104178806,4,4,False,False,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,50,50,monotone_platt,0.03603354501540191,0.027822910058675977,2,3,False,False,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,50,50,temperature_scaling,0.04508455073335687,0.02781266374335658,3,2,False,False,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,75,75,isotonic_regression,0.02642417877395433,0.023013729732153706,1,1,True,True,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,75,75,learned_mlp_head,0.05199021300719918,0.041363156266392885,4,4,False,False,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,75,75,monotone_platt,0.03150814797855141,0.0230948762197882,2,2,False,False,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,75,75,temperature_scaling,0.04244792205799469,0.02671033557765266,3,3,False,False,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,100,100,isotonic_regression,0.024012435401782276,0.023988890685854407,1,2,True,False,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,100,100,learned_mlp_head,0.04468782511791839,0.03209236435685062,4,4,False,False,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,100,100,monotone_platt,0.02958485041556978,0.023036311483832957,2,1,False,True,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,100,100,temperature_scaling,0.0420928131298136,0.026723904373468804,3,3,False,False,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,150,150,isotonic_regression,0.02103465853570603,0.022427557851714082,1,2,True,False,False,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,150,150,learned_mlp_head,0.043866008964621575,0.028958889818876093,3,4,False,False,False,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,150,150,monotone_platt,0.029679858228193374,0.02114420453795336,2,1,False,True,False,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,150,150,temperature_scaling,0.043896191139652214,0.026138988831473208,4,3,False,False,False,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,full,201,isotonic_regression,0.01819841188161613,0.021184983521118823,1,2,True,False,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,full,201,learned_mlp_head,0.04548963172298803,0.02873680284705794,4,4,False,False,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,full,201,monotone_platt,0.0288353906362305,0.02067172336297893,2,1,False,True,True,True
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,full,201,temperature_scaling,0.042637344347629946,0.02610485136039199,3,3,False,False,True,True
D3,CODE-15%,M6_s4d_configured,Configured S4D,10,10,isotonic_regression,0.05777523373917377,0.08686304886713037,3,4,False,False,True,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,10,10,learned_mlp_head,0.08288661021064035,0.08590714060279475,4,3,False,False,True,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,10,10,monotone_platt,0.05074097515756355,0.08167852679445256,2,2,False,False,True,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,10,10,temperature_scaling,0.05069401866793764,0.08165038024879105,1,1,True,True,True,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,20,20,isotonic_regression,0.06313167485777418,0.08543146598647555,3,4,False,False,True,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,20,20,learned_mlp_head,0.07739834242748717,0.08481520671415518,4,3,False,False,True,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,20,20,monotone_platt,0.04792962533202648,0.08280255679553336,2,2,False,False,True,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,20,20,temperature_scaling,0.041011392070499586,0.07932315010509369,1,1,True,True,True,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,50,isotonic_regression,0.05459341136821495,0.08244176136448841,4,4,False,False,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,50,learned_mlp_head,0.04134370430869361,0.07906674580562892,3,2,False,False,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,50,monotone_platt,0.04080757973960521,0.07951848312819405,2,3,False,False,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,50,temperature_scaling,0.03943413355080362,0.07883336658844972,1,1,True,True,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,75,75,isotonic_regression,0.05374391668193501,0.08247139925404827,4,4,False,False,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,75,75,learned_mlp_head,0.03492412151582539,0.07809019608125443,1,1,True,True,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,75,75,monotone_platt,0.03675537270079588,0.07899106177921142,2,3,False,False,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,75,75,temperature_scaling,0.03694604797235857,0.07855936198326391,3,2,False,False,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,100,100,isotonic_regression,0.047542628162062506,0.08104008715731029,4,4,False,False,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,100,100,learned_mlp_head,0.03525315862397353,0.07813445381660578,3,2,False,False,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,100,100,monotone_platt,0.030263447355912,0.07815302801425263,1,3,True,False,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,100,100,temperature_scaling,0.031291324305145515,0.07803384328580121,2,1,False,True,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,150,150,isotonic_regression,0.04238687093670501,0.07953549321479161,4,4,False,False,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,150,150,learned_mlp_head,0.02446689079018931,0.07728555478471603,1,1,True,True,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,150,150,monotone_platt,0.027623388558044894,0.07743183091678307,2,2,False,False,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,150,150,temperature_scaling,0.029237723406704785,0.07798522241743626,3,3,False,False,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,full,201,isotonic_regression,0.039240339694386575,0.07789229840267757,4,3,False,False,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,full,201,learned_mlp_head,0.0185695406422019,0.07695110664926498,1,2,True,False,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,full,201,monotone_platt,0.020158125269265578,0.07679760020776445,2,1,False,True,False,False
D3,CODE-15%,M6_s4d_configured,Configured S4D,full,201,temperature_scaling,0.03168083121614939,0.0779024168753796,3,4,False,False,False,False
