dataset_id,dataset_name,fm_model_id,s4_model_id,recal_method,fm_ece_pre,fm_ece_post,s4_ece,ece_gap_closure,fm_brier_pre,fm_brier_post,s4_brier,brier_gap_closure,excluded_ece_gap_closure,excluded_brier_gap_closure
D1,PTB-XL,M2_stmem_probe,M6_s4d_configured,monotone_platt_or_temperature,0.1088038374505755,0.04823684230291437,0.07263848131976133,1.674724145632176,0.10959546053097721,0.08877967931179402,0.14555086163110958,,False,True
D1,PTB-XL,M2_stmem_probe,M6_s4d_configured,isotonic_regression,0.1088038374505755,0.05400975335095681,0.07263848131976133,1.51509870112774,0.10959546053097721,0.0922645318061092,0.14555086163110958,,False,True
D1,PTB-XL,M2_stmem_probe,M6_s4d_configured,learned_mlp_head,0.1088038374505755,0.06464095749576224,0.07263848131976133,1.2211377041351716,0.10959546053097721,0.09883510144649599,0.14555086163110958,,False,True
D3,CODE-15%,M2_stmem_probe,M6_s4d_configured,monotone_platt_or_temperature,0.03883591837116728,0.02872445073539431,0.02617410857696086,0.7985799660645357,0.02612575146722412,0.020671502684410138,0.07756866059691349,,False,True
D3,CODE-15%,M2_stmem_probe,M6_s4d_configured,isotonic_regression,0.03883591837116728,0.01819841188161613,0.02617410857696086,1.6299017932645075,0.02612575146722412,0.021184983521118823,0.07756866059691349,,False,True
D3,CODE-15%,M2_stmem_probe,M6_s4d_configured,learned_mlp_head,0.03883591837116728,0.04548963172298803,0.02617410857696086,-0.5254946536051462,0.02612575146722412,0.028736802847057943,0.07756866059691349,,False,True
