dataset_id,dataset_name,model_id,model_name,recal_method,class_name,status,test_pos,test_neg,auc_raw,auc_recal,raw_minus_recal_auc,recal_minus_raw_auc,z_statistic,p_value,nominal_significant_degradation
D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,learned_mlp_head,CD,computed,40,153,0.8601307189542484,0.848202614379085,0.011928104575163467,-0.011928104575163467,0.5433722670009881,0.586873516333698,False
D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,learned_mlp_head,HYP,computed,18,175,0.8555555555555555,0.8228571428571428,0.03269841269841267,-0.03269841269841267,1.1072380322645503,0.2681910282298401,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,1dAVb,computed,11,189,0.49158249158249157,0.49158249158249157,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,RBBB,computed,19,181,0.6673451584763013,0.6673451584763013,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,LBBB,computed,15,185,0.66990990990991,0.66990990990991,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,SB,computed,14,186,0.44738863287250386,0.44738863287250386,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,ST,computed,19,181,0.5242803140447805,0.5242803140447805,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,AF,computed,21,179,0.48949188613993083,0.48949188613993083,0.0,-0.0,0.0,1.0,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,isotonic_regression,1dAVb,computed,11,189,0.49158249158249157,0.5197210197210197,-0.02813852813852813,0.02813852813852813,-1.0269194467506426,0.30445839641882966,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,isotonic_regression,RBBB,computed,19,181,0.6673451584763013,0.6900261703983717,-0.022681011922070393,0.022681011922070393,-0.7044251517487652,0.4811680471324158,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,isotonic_regression,LBBB,computed,15,185,0.66990990990991,0.6951351351351351,-0.02522522522522519,0.02522522522522519,-0.8681526710614437,0.38531076001427267,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,isotonic_regression,SB,computed,14,186,0.44738863287250386,0.48867127496159757,-0.04128264208909371,0.04128264208909371,-1.1152330124315277,0.2647505828105481,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,isotonic_regression,ST,computed,19,181,0.5242803140447805,0.5407095085780751,-0.01642919453329461,0.01642919453329461,-0.5287261208928965,0.5969954543099767,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,isotonic_regression,AF,computed,21,179,0.48949188613993083,0.4725990955041235,0.016892790635807342,-0.016892790635807342,1.3077250435049268,0.19096658589269067,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,learned_mlp_head,1dAVb,computed,11,189,0.49158249158249157,0.5824915824915825,-0.09090909090909094,0.09090909090909094,-1.198173471607842,0.23084949071581717,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,learned_mlp_head,RBBB,computed,19,181,0.6673451584763013,0.5603373073567898,0.1070078511195115,-0.1070078511195115,1.2109584391887174,0.22591133353476733,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,learned_mlp_head,LBBB,computed,15,185,0.66990990990991,0.5304504504504504,0.1394594594594596,-0.1394594594594596,1.986647358398567,0.04696148919385011,True
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,learned_mlp_head,SB,computed,14,186,0.44738863287250386,0.48156682027649766,-0.03417818740399381,0.03417818740399381,-0.37341218309098173,0.7088416934045989,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,learned_mlp_head,ST,computed,19,181,0.5242803140447805,0.4079674323931375,0.116312881651643,-0.116312881651643,1.01912013264109,0.3081459373275166,False
D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,learned_mlp_head,AF,computed,21,179,0.48949188613993083,0.5256717212024474,-0.0361798350625166,0.0361798350625166,-0.5504613886192359,0.5820029529541728,False
D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,1dAVb,computed,11,189,0.9634439634439635,0.9634439634439635,0.0,-0.0,0.0,1.0,False
