phase,dataset_id,dataset_name,model_id,model_name,recal_method,auroc,auprc,ece_ew,ece_em,brier,sce,delta_auroc,delta_ece_ew,delta_ece_em,delta_brier,delta_sce,relative_ece_reduction,relative_brier_reduction
A_recalibration_gradient_pilot,D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,none,0.738817683229448,0.41330942931273035,0.07263848131976133,0.07847136200111303,0.14555086163110958,0.014766764058852142,,,,,,,
B_recalibration_gradient_pilot,D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,0.738817683229448,0.41330942931273035,0.07475190160944256,0.08294364743508248,0.14723364133490258,0.004076980522037791,0.0,0.002113420289681228,0.00447228543396945,0.0016827797037929915,-0.010689783536814351,-0.029095050602417693,-0.011561454772132516
B_recalibration_gradient_pilot,D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,isotonic_regression,0.7245871880283645,0.371095820727273,0.06088315856381599,0.06576206998494986,0.15132426271958144,0.009289254335146857,-0.014230495201083437,-0.011755322755945347,-0.012709292016163165,0.005773401088471852,-0.005477509723705285,0.16183326719342225,-0.03966586678891816
B_recalibration_gradient_pilot,D1,PTB-XL,M6_s4d_configured,Configured S4D constrained pilot,learned_mlp_head,0.7495291257644199,0.43191342082538836,0.07893436022025624,0.09940464787494026,0.14561316798940216,0.017363110190460114,0.010711442534971916,0.006295878900494906,0.02093328587382723,6.230635829257425e-05,0.002596346131607972,-0.08667415378330753,-0.0004280727547356345
A_recalibration_gradient_pilot,D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,none,0.87927418174477,0.714537873976161,0.1088038374505755,0.1086287515325229,0.10959546053097721,0.08179306883229669,,,,,,,
B_recalibration_gradient_pilot,D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,0.87927418174477,0.714537873976161,0.04823684230291437,0.059833539724677795,0.08877967931179402,0.0024871841148047134,0.0,-0.060566995147661125,-0.0487952118078451,-0.02081578121918319,-0.07930588471749198,0.5566623068342961,0.18993287786130156
B_recalibration_gradient_pilot,D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,isotonic_regression,0.8710850304085598,0.6620208766425683,0.05400975335095681,0.05218307335077137,0.0922645318061092,0.0008514967692583874,-0.008189151336210232,-0.05479408409961868,-0.05644567818175153,-0.01733092872486801,-0.0809415720630383,0.503604334033798,0.15813546145891155
B_recalibration_gradient_pilot,D1,PTB-XL,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,learned_mlp_head,0.8675339036515506,0.6346335323491268,0.06464095749576224,0.06369799058051984,0.09883510144649599,0.019580600028881723,-0.011740278093219425,-0.04416287995481326,-0.04493076095200306,-0.010760359084481225,-0.062212468803414966,0.4058945069366179,0.09818252537421296
A_recalibration_gradient_pilot,D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,none,0.5483330655043196,0.10225250474930485,0.02617410857696086,0.06775779244645187,0.07756866059691349,-0.004297929603296021,,,,,,,
B_recalibration_gradient_pilot,D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,monotone_platt_or_temperature,0.5483330655043196,0.10225250474930485,0.02015761410214347,0.06988708551748063,0.07679726724280035,0.014810876551741453,0.0,-0.0060164944748173875,0.0021292930710287566,-0.0007713933541131368,0.019108806155037475,0.22986435076200704,0.009944652236831728
B_recalibration_gradient_pilot,D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,isotonic_regression,0.5678103673830538,0.10600155637704228,0.039240339694386575,0.04115609661476332,0.0778922984026776,0.011863825631106904,0.0194773018787342,0.013066231117425716,-0.026601695831688553,0.00032363780576410983,0.016161755234402924,-0.4992044362850606,-0.004172275288417029
B_recalibration_gradient_pilot,D3,CODE-15%,M6_s4d_configured,Configured S4D constrained pilot,learned_mlp_head,0.5147475523618176,0.09104152130410786,0.0185695406422019,0.06588787878553073,0.07695110664926498,0.00621252494553725,-0.03358551314250202,-0.007604567934758957,-0.001869913660921138,-0.0006175539476485081,0.01051045454883327,0.2905378004526465,0.007961384699648676
A_recalibration_gradient_pilot,D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,none,0.9869273814139704,0.8781089579095291,0.03883591837116728,0.034104642841823865,0.02612575146722412,0.03127261051223731,,,,,,,
B_recalibration_gradient_pilot,D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,monotone_platt_or_temperature,0.9869273814139704,0.8781089579095291,0.02872445073539431,0.014524251736779738,0.020671502684410138,0.0041596338745203505,0.0,-0.010111467635772971,-0.01958039110504413,-0.005454248782813982,-0.027112976637716956,0.26036380906804996,0.20876906793117786
B_recalibration_gradient_pilot,D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,isotonic_regression,0.9756544797855325,0.8203172075979214,0.01819841188161613,0.01069928422273509,0.021184983521118823,0.0028882342801089633,-0.01127290162843786,-0.020637506489551153,-0.023405358619088774,-0.004940767946105297,-0.028384376232128344,0.5314025612143869,0.1891148644012672
B_recalibration_gradient_pilot,D3,CODE-15%,M2_stmem_probe,ST-MEM frozen linear probe expanded real pilot,learned_mlp_head,0.970551142916804,0.8202391958589886,0.04548963172298803,0.03463304275739575,0.028736802847057943,0.0027348741199784855,-0.016376238497166407,0.006653713351820752,0.000528399915571888,0.0026110513798338238,-0.028537736392258824,-0.17132885305373977,-0.09994167567235339
