cell,model,dataset,method,macro_ece,macro_nll,macro_brier,macro_auroc,macro_auroc_loss_vs_raw,max_class_auroc_loss,selections
M4_D4,ECGFM-KED,CPSC2018,ranksafe_eps0.005,0.0264,0.2562,0.0724,0.8213,0.0001,0.0006,"{""eps0.005"": {""Normal"": ""temperature"", ""AF"": ""isotonic"", ""IAVB"": ""platt"", ""LBBB"": ""platt"", ""RBBB"": ""temperature"", ""PAC"": ""platt"", ""PVC"": ""platt"", ""STD"": ""temperature"", ""STE"": ""platt""}, ""eps0.01"": {""Normal"": ""temperature"", ""AF"": ""isotonic"", ""IAVB"": ""platt"", ""LBBB"": ""platt"", ""RBBB"": ""temperature"", ""PAC"": ""platt"", ""PVC"": ""platt"", ""STD"": ""temperature"", ""STE"": ""platt""}}"
M4_D4,ECGFM-KED,CPSC2018,ranksafe_eps0.01,0.0264,0.2562,0.0724,0.8213,0.0001,0.0006,"{""eps0.005"": {""Normal"": ""temperature"", ""AF"": ""isotonic"", ""IAVB"": ""platt"", ""LBBB"": ""platt"", ""RBBB"": ""temperature"", ""PAC"": ""platt"", ""PVC"": ""platt"", ""STD"": ""temperature"", ""STE"": ""platt""}, ""eps0.01"": {""Normal"": ""temperature"", ""AF"": ""isotonic"", ""IAVB"": ""platt"", ""LBBB"": ""platt"", ""RBBB"": ""temperature"", ""PAC"": ""platt"", ""PVC"": ""platt"", ""STD"": ""temperature"", ""STE"": ""platt""}}"
M5_D4,ECG-FM,CPSC2018,raw,0.0323,0.2388,0.0666,0.8466,0.0,0.0,
M5_D4,ECG-FM,CPSC2018,platt,0.0284,0.2351,0.0661,0.8466,0.0,0.0,
M5_D4,ECG-FM,CPSC2018,temperature,0.0319,0.2329,0.0666,0.8466,0.0,0.0,
M5_D4,ECG-FM,CPSC2018,isotonic,0.0211,0.2409,0.0655,0.8366,0.01,0.0594,
M5_D4,ECG-FM,CPSC2018,ranksafe_eps0.005,0.0271,0.2327,0.066,0.8464,0.0002,0.0022,"{""eps0.005"": {""Normal"": ""temperature"", ""AF"": ""temperature"", ""IAVB"": ""platt"", ""LBBB"": ""platt"", ""RBBB"": ""isotonic"", ""PAC"": ""platt"", ""PVC"": ""temperature"", ""STD"": ""temperature"", ""STE"": ""platt""}, ""eps0.01"": {""Normal"": ""temperature"", ""AF"": ""temperature"", ""IAVB"": ""platt"", ""LBBB"": ""platt"", ""RBBB"": ""isotonic"", ""PAC"": ""platt"", ""PVC"": ""temperature"", ""STD"": ""temperature"", ""STE"": ""platt""}}"
M5_D4,ECG-FM,CPSC2018,ranksafe_eps0.01,0.0271,0.2327,0.066,0.8464,0.0002,0.0022,"{""eps0.005"": {""Normal"": ""temperature"", ""AF"": ""temperature"", ""IAVB"": ""platt"", ""LBBB"": ""platt"", ""RBBB"": ""isotonic"", ""PAC"": ""platt"", ""PVC"": ""temperature"", ""STD"": ""temperature"", ""STE"": ""platt""}, ""eps0.01"": {""Normal"": ""temperature"", ""AF"": ""temperature"", ""IAVB"": ""platt"", ""LBBB"": ""platt"", ""RBBB"": ""isotonic"", ""PAC"": ""platt"", ""PVC"": ""temperature"", ""STD"": ""temperature"", ""STE"": ""platt""}}"
M6_D4,S4D,CPSC2018,raw,0.0232,0.2654,0.0754,0.8029,0.0,0.0,
M6_D4,S4D,CPSC2018,platt,0.0296,0.2663,0.0763,0.8029,0.0,0.0,
M6_D4,S4D,CPSC2018,temperature,0.0253,0.2659,0.0755,0.8029,0.0,0.0,
M6_D4,S4D,CPSC2018,isotonic,0.0207,0.2652,0.0752,0.7976,0.0054,0.016,
M6_D4,S4D,CPSC2018,ranksafe_eps0.005,0.0218,0.2631,0.0751,0.8024,0.0005,0.0043,"{""eps0.005"": {""Normal"": ""temperature"", ""AF"": ""platt"", ""IAVB"": ""temperature"", ""LBBB"": ""temperature"", ""RBBB"": ""platt"", ""PAC"": ""temperature"", ""PVC"": ""isotonic"", ""STD"": ""temperature"", ""STE"": ""temperature""}, ""eps0.01"": {""Normal"": ""temperature"", ""AF"": ""platt"", ""IAVB"": ""temperature"", ""LBBB"": ""temperature"", ""RBBB"": ""platt"", ""PAC"": ""temperature"", ""PVC"": ""isotonic"", ""STD"": ""isotonic"", ""STE"": ""temperature""}}"
M6_D4,S4D,CPSC2018,ranksafe_eps0.01,0.0224,0.2642,0.0751,0.8018,0.0011,0.0056,"{""eps0.005"": {""Normal"": ""temperature"", ""AF"": ""platt"", ""IAVB"": ""temperature"", ""LBBB"": ""temperature"", ""RBBB"": ""platt"", ""PAC"": ""temperature"", ""PVC"": ""isotonic"", ""STD"": ""temperature"", ""STE"": ""temperature""}, ""eps0.01"": {""Normal"": ""temperature"", ""AF"": ""platt"", ""IAVB"": ""temperature"", ""LBBB"": ""temperature"", ""RBBB"": ""platt"", ""PAC"": ""temperature"", ""PVC"": ""isotonic"", ""STD"": ""isotonic"", ""STE"": ""temperature""}}"
M1_D5,MERL,MIMIC-IV-ECG,raw,0.0738,0.3512,0.0822,0.8605,0.0,0.0,
M1_D5,MERL,MIMIC-IV-ECG,platt,0.0402,0.2611,0.0744,0.8605,0.0,0.0,
M1_D5,MERL,MIMIC-IV-ECG,temperature,0.0616,0.2774,0.0795,0.8605,0.0,0.0,
M1_D5,MERL,MIMIC-IV-ECG,isotonic,0.0491,0.3582,0.0766,0.8538,0.0067,0.0123,
M1_D5,MERL,MIMIC-IV-ECG,ranksafe_eps0.005,0.0399,0.2994,0.0745,0.8568,0.0037,0.0123,"{""eps0.005"": {""SR"": ""platt"", ""AF"": ""platt"", ""RBBB"": ""isotonic"", ""LVH"": ""platt"", ""MI"": ""isotonic""}, ""eps0.01"": {""SR"": ""platt"", ""AF"": ""platt"", ""RBBB"": ""isotonic"", ""LVH"": ""platt"", ""MI"": ""isotonic""}}"
M1_D5,MERL,MIMIC-IV-ECG,ranksafe_eps0.01,0.0399,0.2994,0.0745,0.8568,0.0037,0.0123,"{""eps0.005"": {""SR"": ""platt"", ""AF"": ""platt"", ""RBBB"": ""isotonic"", ""LVH"": ""platt"", ""MI"": ""isotonic""}, ""eps0.01"": {""SR"": ""platt"", ""AF"": ""platt"", ""RBBB"": ""isotonic"", ""LVH"": ""platt"", ""MI"": ""isotonic""}}"
M2_D5,ST-MEM,MIMIC-IV-ECG,raw,0.0801,0.4042,0.0822,0.8537,0.0,0.0,
M2_D5,ST-MEM,MIMIC-IV-ECG,platt,0.0381,0.2566,0.0704,0.8537,0.0,0.0,
M2_D5,ST-MEM,MIMIC-IV-ECG,temperature,0.0592,0.2581,0.0754,0.8542,-0.0005,0.0,
M2_D5,ST-MEM,MIMIC-IV-ECG,isotonic,0.0397,0.3409,0.0702,0.8456,0.0081,0.02,
M2_D5,ST-MEM,MIMIC-IV-ECG,ranksafe_eps0.005,0.0381,0.2566,0.0704,0.8537,0.0,0.0,"{""eps0.005"": {""SR"": ""platt"", ""AF"": ""platt"", ""RBBB"": ""platt"", ""LVH"": ""platt"", ""MI"": ""platt""}, ""eps0.01"": {""SR"": ""platt"", ""AF"": ""platt"", ""RBBB"": ""platt"", ""LVH"": ""platt"", ""MI"": ""platt""}}"
